checked_at_kst,table_name,status,latest_date,freshness_days,csv_summary,log_summary,notes
2026-08-05T09:54:14+09:00,관종표/분석표,OK,2026-08-05,0,"watchlist_summary_latest.csv(OK, rows=47)",run_log_latest.txt(OK),"watchlist_summary_latest.csv: rows=47 / OK pattern: status_counts={'OK', summary_rows= / 최신성 양호: 2026-08-05, 0일 경과"
2026-08-05T09:54:14+09:00,코피표,OK,2026-08-04,1,"kospi_universe_summary_latest.csv(OK, rows=923) | kospi_candidates_30_latest.csv(OK, rows=30) | kospi_recommend_7_latest.csv(OK, rows=7)",universe_run_log_latest.txt(OK),"kospi_universe_summary_latest.csv: rows=923 / kospi_candidates_30_latest.csv: rows=30 / kospi_recommend_7_latest.csv: rows=7 / OK pattern: kospi_candidates, kospi_recommend, summary_rows / 최신성 양호: 2026-08-04, 1일 경과"
2026-08-05T09:54:14+09:00,코닥표,OK,2026-08-04,1,"kosdaq_universe_summary_latest.csv(OK, rows=1787) | kosdaq_candidates_10_latest.csv(OK, rows=10) | kosdaq_recommend_5_latest.csv(OK, rows=5)",universe_run_log_latest.txt(OK),"kosdaq_universe_summary_latest.csv: rows=1787 / kosdaq_candidates_10_latest.csv: rows=10 / kosdaq_recommend_5_latest.csv: rows=5 / OK pattern: kosdaq_candidates, kosdaq_recommend, summary_rows / 최신성 양호: 2026-08-04, 1일 경과"
2026-08-05T09:54:14+09:00,코급표,OK,2026-08-04,1,"kospi_gainers_1m_latest.csv(OK, rows=20)",universe_run_log_latest.txt(OK),"kospi_gainers_1m_latest.csv: rows=20 / OK pattern: gainers, kospi_gainers_1m / 최신성 양호: 2026-08-04, 1일 경과"
2026-08-05T09:54:14+09:00,현재가 기준 보정표,OK,2026-08-04,1,"kospi_candidates_30_current_basis_latest.csv(OK, rows=30) | kosdaq_candidates_10_current_basis_latest.csv(OK, rows=10) | kospi_gainers_1m_current_basis_latest.csv(OK, rows=20) | watchlist_summary_current_basis_latest.csv(OK, rows=47)",current_price_basis_run_log_latest.txt(OK),"kospi_candidates_30_current_basis_latest.csv: rows=30 / kosdaq_candidates_10_current_basis_latest.csv: rows=10 / kospi_gainers_1m_current_basis_latest.csv: rows=20 / watchlist_summary_current_basis_latest.csv: rows=47 / OK pattern: status=OK, ok_files=4, display_rule=기존 열 구조 유지 / 최신성 양호: 2026-08-04, 1일 경과"
2026-08-05T09:54:14+09:00,수급부담/오버행 자동감지,OK,,,"supply_burden_summary_latest.csv(OK, rows=2710) | supply_burden_hits_latest.csv(OK, rows=11816)",supply_burden_run_log_latest.txt(OK),supply_burden_summary_latest.csv: rows=2710 / supply_burden_hits_latest.csv: rows=11816 / OK pattern: status=OK / 최신성 날짜 점검 대상 아님
2026-08-05T09:54:14+09:00,월사이클표/사이클표/파동표,OK,2026-08-04,1,"kospi_monthly_cycle_latest.csv(OK, rows=40)",monthly_cycle_run_log_latest.txt(OK),"kospi_monthly_cycle_latest.csv: rows=40 / OK pattern: monthly_cycle_latest_rows, monthly_cycle_candidates_all / 최신성 양호: 2026-08-04, 1일 경과"
2026-08-05T09:54:14+09:00,단상표,OK,2026-08-04,1,"kospi_short_term_candidates_30_latest.csv(OK, rows=30) | kospi_short_term_recommend_7_latest.csv(OK, rows=7)",kospi_short_term_run_log_latest.txt(OK),"kospi_short_term_candidates_30_latest.csv: rows=30 / kospi_short_term_recommend_7_latest.csv: rows=7 / OK pattern: status=OK, short_term_candidates_rows=30, short_term_recommend_rows=7 / 최신성 양호: 2026-08-04, 1일 경과"
2026-08-05T09:54:14+09:00,환율약세표,OK,2026-08-04,1,"kospi_fx_weakness_candidates_30_latest.csv(OK, rows=30) | kospi_fx_weakness_recommend_7_latest.csv(OK, rows=7)",kospi_fx_weakness_run_log_latest.txt(OK),"kospi_fx_weakness_candidates_30_latest.csv: rows=30 / kospi_fx_weakness_recommend_7_latest.csv: rows=7 / OK pattern: status=OK, fx_weakness_candidates_rows=30, fx_weakness_recommend_rows=7 / 최신성 양호: 2026-08-04, 1일 경과"
2026-08-05T09:54:14+09:00,시장위험/버블위험,OK,2026-08-04,1,"market_index_summary_latest.csv(OK, rows=2) | bubble_risk_signals_latest.csv(OK, rows=4)",market_status_run_log_latest.txt(OK),"market_index_summary_latest.csv: rows=2 / bubble_risk_signals_latest.csv: rows=4 / OK pattern: status=OK, status=OK_NEW_CONFIRMED_TRADING_DAY, bubble_risk_level= / 최신성 양호: 2026-08-04, 1일 경과"
2026-08-05T09:54:14+09:00,거시·레버리지 위험자료,OK,2026-08-04,1,"macro_leverage_history_latest.csv(OK, rows=1372) | macro_leverage_summary_latest.csv(OK, rows=7)",macro_leverage_run_log_latest.txt(OK),"macro_leverage_history_latest.csv: rows=1372 / macro_leverage_summary_latest.csv: rows=7 / OK pattern: macro_success_count=, macro_summary_rows=, final_bubble_alert_required= / 최신성 양호: 2026-08-04, 1일 경과"
2026-08-05T09:54:14+09:00,KOFIA bridge,OK,,,,kofia_macro_bridge_run_log_latest.txt(OK),"OK pattern: overall_status=OK_ALL_3, BRIDGE_OK credit, BRIDGE_OK deposit / 최신성 날짜 점검 대상 아님"
2026-08-05T09:54:14+09:00,공식지수 교차검증,OK,,,,official_index_validation_run_log_latest.txt(OK),"OK pattern: overall_status=PASS_ALL, VALIDATION KOSPI: status=PASS, VALIDATION KOSDAQ: status=PASS / 최신성 날짜 점검 대상 아님"
