route_id,display_name,generation_mode,status,shared_with,missing_components,source_existing,api_existing,operation_existing,next_step
watchlist,관종표,DIRECT,READY_DIRECT,,,"latest/watchlist_summary_current_basis_latest.csv,latest/watchlist_summary_latest.csv",api/watchlist.json,getWatchlist,
analysis,분석표,SHARED,READY_SHARED,watchlist,,"latest/watchlist_summary_current_basis_latest.csv,latest/watchlist_summary_latest.csv",api/watchlist.json,getWatchlist,"관심종목 비교는 관종표 경로를 공유하고, 개별 기업은 같은 행을 심화 해석한다."
kospi,코피표,DIRECT,READY_DIRECT,,,"latest/kospi_candidates_30_current_basis_latest.csv,latest/kospi_candidates_30_latest.csv",api/kospi_candidates_30.json,getKospiCandidates,
kospi_1m,코피표1개월,DIRECT,MISSING,,"SOURCE,API,ACTION",,,,코스피 전체를 최근 1개월 기준으로 재산출하는 전용 생성기 필요
kosdaq,코닥표,DIRECT,READY_DIRECT,,,"latest/kosdaq_candidates_10_current_basis_latest.csv,latest/kosdaq_candidates_10_latest.csv",api/kosdaq_candidates_10.json,getKosdaqCandidates,
kosdaq_1m,코닥표1개월,DIRECT,MISSING,,"SOURCE,API,ACTION",,,,코스닥 전체를 최근 1개월 기준으로 재산출하는 전용 생성기 필요
kospi_gainers,코급표,DIRECT,READY_DIRECT,,,"latest/kospi_gainers_1m_current_basis_latest.csv,latest/kospi_gainers_1m_latest.csv",api/kospi_gainers_1m.json,getKospiGainers,
monthly_cycle,월사이클표,DIRECT,READY_DIRECT,,,latest/kospi_monthly_cycle_latest.csv,api/kospi_monthly_cycle.json,getMonthlyCycle,
short_term,단상표,DIRECT,READY_DIRECT,,,latest/kospi_short_term_candidates_30_latest.csv,api/kospi_short_term_candidates_30.json,getShortTermCandidates,
fx_weakness,환율약세표,DIRECT,READY_DIRECT,,,latest/kospi_fx_weakness_candidates_30_latest.csv,api/kospi_fx_weakness_candidates_30.json,getFxWeaknessCandidates,
market_status,시장상태표,COMPOSITE,READY_COMPOSITE,,,"latest/data_status_latest.json,latest/macro_leverage_latest.json,latest/bubble_risk_latest.json","api/market_status.json,api/macro_leverage.json,api/bubble_risk.json","getMarketStatus,getMacroLeverage,getBubbleRisk",
holdings,보유종목표,DIRECT,MISSING,,"SOURCE,API,ACTION",,,,사용자 보유수량·매입가를 별도 입력자료로 관리하고 국내 종목 분석자료와 결합하는 생성기 필요
us_watchlist,미관종표,DIRECT,MISSING,,"SOURCE,API,ACTION",,,,S&P500 전체 수집·점수화 후 코피표형 후보표를 만드는 미국시장 전용 저장소 또는 생성기 필요
