ticker,name,market,missing_component_count,blocker_reason,blocker_category,source_group,single_blocker_ticker,recovery_status,audit_note
000150,두산,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
000490,대동,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
000660,SK하이닉스,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
000760,이화산업,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
001440,대한전선,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,ACTIONABLE_SINGLE_BLOCKER_REAUDIT,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
001630,종근당홀딩스,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
001680,대상,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
002350,넥센타이어,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
003230,삼양식품,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
003620,KG모빌리티,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS,"승인 exact D&A 원천 부족; debt_status=EMPTY_AS_ZERO, da_status=NO_EXACT_CANDIDATE"
004370,농심,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
004490,세방전지,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
005300,롯데칠성,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
005930,삼성전자,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
006400,삼성SDI,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
007070,GS리테일,KOSPI,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,EXHAUSTED_APPROVED_OFFICIAL_DA_PATHS,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
